t,date,layoff_share,joblosers_share,cpi_infl,log_claims,claims,credit_spr,vix,sentiment,log_oil,oil,layoff_share_lag1,joblosers_share_lag1,log_claims_lag1,credit_spr_lag1,vix_lag1,cpi_infl_lag1,sentiment_lag1,log_oil_lag1,layoff_share_lag2,joblosers_share_lag2,log_claims_lag2,credit_spr_lag2,vix_lag2,cpi_infl_lag2,sentiment_lag2,log_oil_lag2,layoff_share_lag3,joblosers_share_lag3,log_claims_lag3,credit_spr_lag3,vix_lag3,cpi_infl_lag3,sentiment_lag3,log_oil_lag3,layoff_share_lag4,joblosers_share_lag4,log_claims_lag4,credit_spr_lag4,vix_lag4,cpi_infl_lag4,sentiment_lag4,log_oil_lag4
1,1990-01-01,0.15279816513761468,0.4670756880733945,5.19802,12.796633237315017,361000.0,1.7299999999999986,23.35,93.0,3.1293886583666644,22.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1990-02-01,0.1388302752293578,0.4531077981651376,5.26316,12.788986345690418,358250.0,1.67,23.26,89.5,3.096029994869355,22.11,0.15279816513761468,0.4670756880733945,12.796633237315017,1.7299999999999986,23.35,5.19802,93.0,3.1293886583666644,,,,,,,,,,,,,,,,,,,,,,,,
3,1990-03-01,0.1388302752293578,0.46208715596330274,5.23732,12.75187923819141,345200.0,1.620000000000001,20.06,91.3,3.015044584586364,20.39,0.1388302752293578,0.4531077981651376,12.788986345690418,1.67,23.26,5.26316,89.5,3.096029994869355,0.15279816513761468,0.4670756880733945,12.796633237315017,1.7299999999999986,23.35,5.19802,93.0,3.1293886583666644,,,,,,,,,,,,,,,,
4,1990-04-01,0.14182339449541284,0.4650802752293578,4.71162,12.79870864449373,361750.0,1.5100000000000016,21.4,93.9,2.9139797716817317,18.43,0.1388302752293578,0.46208715596330274,12.75187923819141,1.620000000000001,20.06,5.23732,91.3,3.015044584586364,0.1388302752293578,0.4531077981651376,12.788986345690418,1.67,23.26,5.26316,89.5,3.096029994869355,0.15279816513761468,0.4670756880733945,12.796633237315017,1.7299999999999986,23.35,5.19802,93.0,3.1293886583666644,,,,,,,,
5,1990-05-01,0.14581422018348622,0.47306192660550456,4.3654,12.780577045959348,355250.0,1.6500000000000004,18.1,90.6,2.9014215940827497,18.2,0.14182339449541284,0.4650802752293578,12.79870864449373,1.5100000000000016,21.4,4.71162,93.9,2.9139797716817317,0.1388302752293578,0.46208715596330274,12.75187923819141,1.620000000000001,20.06,5.23732,91.3,3.015044584586364,0.1388302752293578,0.4531077981651376,12.788986345690418,1.67,23.26,5.26316,89.5,3.096029994869355,0.15279816513761468,0.4670756880733945,12.796633237315017,1.7299999999999986,23.35,5.19802,93.0,3.1293886583666644
6,1990-06-01,0.14082568807339452,0.47805045871559626,4.67365,12.80050385315096,362400.0,1.7400000000000002,16.82,88.3,2.8154087194227095,16.7,0.14581422018348622,0.47306192660550456,12.780577045959348,1.6500000000000004,18.1,4.3654,90.6,2.9014215940827497,0.14182339449541284,0.4650802752293578,12.79870864449373,1.5100000000000016,21.4,4.71162,93.9,2.9139797716817317,0.1388302752293578,0.46208715596330274,12.75187923819141,1.620000000000001,20.06,5.23732,91.3,3.015044584586364,0.1388302752293578,0.4531077981651376,12.788986345690418,1.67,23.26,5.26316,89.5,3.096029994869355
7,1990-07-01,0.14780963302752292,0.477052752293578,4.81928,12.813117127036707,367000.0,1.7299999999999986,18.39,88.2,2.915064370486536,18.45,0.14082568807339452,0.47805045871559626,12.80050385315096,1.7400000000000002,16.82,4.67365,88.3,2.8154087194227095,0.14581422018348622,0.47306192660550456,12.780577045959348,1.6500000000000004,18.1,4.3654,90.6,2.9014215940827497,0.14182339449541284,0.4650802752293578,12.79870864449373,1.5100000000000016,21.4,4.71162,93.9,2.9139797716817317,0.1388302752293578,0.46208715596330274,12.75187923819141,1.620000000000001,20.06,5.23732,91.3,3.015044584586364
8,1990-08-01,0.14182339449541284,0.48603211009174313,5.70281,12.859048661400843,384250.0,1.6600000000000001,28.18,76.4,3.3072529354856135,27.31,0.14780963302752292,0.477052752293578,12.813117127036707,1.7299999999999986,18.39,4.81928,88.2,2.915064370486536,0.14082568807339452,0.47805045871559626,12.80050385315096,1.7400000000000002,16.82,4.67365,88.3,2.8154087194227095,0.14581422018348622,0.47306192660550456,12.780577045959348,1.6500000000000004,18.1,4.3654,90.6,2.9014215940827497,0.14182339449541284,0.4650802752293578,12.79870864449373,1.5100000000000016,21.4,4.71162,93.9,2.9139797716817317
9,1990-09-01,0.15678899082568806,0.49201834862385324,6.16987,12.884106188280072,394000.0,1.75,29.11,72.8,3.511843901749219,33.51,0.14182339449541284,0.48603211009174313,12.859048661400843,1.6600000000000001,28.18,5.70281,76.4,3.3072529354856135,0.14780963302752292,0.477052752293578,12.813117127036707,1.7299999999999986,18.39,4.81928,88.2,2.915064370486536,0.14082568807339452,0.47805045871559626,12.80050385315096,1.7400000000000002,16.82,4.67365,88.3,2.8154087194227095,0.14581422018348622,0.47306192660550456,12.780577045959348,1.6500000000000004,18.1,4.3654,90.6,2.9014215940827497
10,1990-10-01,0.14980504587155963,0.5009977064220184,6.37959,12.960432510258109,425250.0,2.0199999999999996,29.63,63.9,3.584629432740137,36.04,0.15678899082568806,0.49201834862385324,12.884106188280072,1.75,29.11,6.16987,72.8,3.511843901749219,0.14182339449541284,0.48603211009174313,12.859048661400843,1.6600000000000001,28.18,5.70281,76.4,3.3072529354856135,0.14780963302752292,0.477052752293578,12.813117127036707,1.7299999999999986,18.39,4.81928,88.2,2.915064370486536,0.14082568807339452,0.47805045871559626,12.80050385315096,1.7400000000000002,16.82,4.67365,88.3,2.8154087194227095
11,1990-11-01,0.1557912844036697,0.5119724770642202,6.19539,13.009754433021675,446750.0,2.2299999999999986,24.89,66.0,3.4759955917373415,32.33,0.14980504587155963,0.5009977064220184,12.960432510258109,2.0199999999999996,29.63,6.37959,63.9,3.584629432740137,0.15678899082568806,0.49201834862385324,12.884106188280072,1.75,29.11,6.16987,72.8,3.511843901749219,0.14182339449541284,0.48603211009174313,12.859048661400843,1.6600000000000001,28.18,5.70281,76.4,3.3072529354856135,0.14780963302752292,0.477052752293578,12.813117127036707,1.7299999999999986,18.39,4.81928,88.2,2.915064370486536
12,1990-12-01,0.15080275229357798,0.5,6.25495,13.028052697933088,455000.0,2.3499999999999996,23.36,65.5,3.3061538329752613,27.28,0.1557912844036697,0.5119724770642202,13.009754433021675,2.2299999999999986,24.89,6.19539,66.0,3.4759955917373415,0.14980504587155963,0.5009977064220184,12.960432510258109,2.0199999999999996,29.63,6.37959,63.9,3.584629432740137,0.15678899082568806,0.49201834862385324,12.884106188280072,1.75,29.11,6.16987,72.8,3.511843901749219,0.14182339449541284,0.48603211009174313,12.859048661400843,1.6600000000000001,28.18,5.70281,76.4,3.3072529354856135
13,1991-01-01,0.1488073394495413,0.5269380733944954,5.64706,12.993961662599805,439750.0,2.3599999999999994,27.43,66.8,3.2280337626529665,25.23,0.15080275229357798,0.5,13.028052697933088,2.3499999999999996,23.36,6.25495,65.5,3.3061538329752613,0.1557912844036697,0.5119724770642202,13.009754433021675,2.2299999999999986,24.89,6.19539,66.0,3.4759955917373415,0.14980504587155963,0.5009977064220184,12.960432510258109,2.0199999999999996,29.63,6.37959,63.9,3.584629432740137,0.15678899082568806,0.49201834862385324,12.884106188280072,1.75,29.11,6.16987,72.8,3.511843901749219
14,1991-02-01,0.1757454128440367,0.539908256880734,5.3125,13.089840185698769,484000.0,2.2200000000000006,21.6,70.4,3.019448800171307,20.48,0.1488073394495413,0.5269380733944954,12.993961662599805,2.3599999999999994,27.43,5.64706,66.8,3.2280337626529665,0.15080275229357798,0.5,13.028052697933088,2.3499999999999996,23.36,6.25495,65.5,3.3061538329752613,0.1557912844036697,0.5119724770642202,13.009754433021675,2.2299999999999986,24.89,6.19539,66.0,3.4759955917373415,0.14980504587155963,0.5009977064220184,12.960432510258109,2.0199999999999996,29.63,6.37959,63.9,3.584629432740137
15,1991-03-01,0.16177752293577982,0.5448967889908257,4.82115,13.119559450071595,498600.0,1.9800000000000004,17.74,87.7,2.990719731730447,19.9,0.1757454128440367,0.539908256880734,13.089840185698769,2.2200000000000006,21.6,5.3125,70.4,3.019448800171307,0.1488073394495413,0.5269380733944954,12.993961662599805,2.3599999999999994,27.43,5.64706,66.8,3.2280337626529665,0.15080275229357798,0.5,13.028052697933088,2.3499999999999996,23.36,6.25495,65.5,3.3061538329752613,0.1557912844036697,0.5119724770642202,13.009754433021675,2.2299999999999986,24.89,6.19539,66.0,3.4759955917373415
