date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2017-12-01 00:00:00,4.3,2.7,6.9,0,,,15.6,,1020.9,
2017-12-02 00:00:00,4.6,2.5,6.6,0,,,8.2,,1027.1,
2017-12-03 00:00:00,8.5,5.5,10.4,0.5,,,9.8,,1027,
2017-12-04 00:00:00,7.6,4.6,10,0.3,,,10,,1033.3,
2017-12-05 00:00:00,7.9,6.8,8.6,0,,,13.9,,1035.4,
2017-12-06 00:00:00,9.5,8.1,11.1,0,,,19.1,,1027.3,
2017-12-07 00:00:00,8.9,3.8,12.2,0,,,23.5,,1010.5,
2017-12-08 00:00:00,2.8,1.1,4.5,3,,,20.9,,1015.8,
2017-12-09 00:00:00,1.2,-1,4,0,,,14.3,,1015.1,
2017-12-10 00:00:00,1.6,0,2.4,5.3,1,,11.1,,982.5,
2017-12-11 00:00:00,1.8,-0.5,3.4,15,,,17,,985.3,
2017-12-12 00:00:00,0.7,-3.1,6.1,7.9,1,,10.9,,1007.2,
2017-12-13 00:00:00,6.6,2.7,9.3,3,,,21,,996.6,
2017-12-14 00:00:00,4.2,2.5,6.2,7.4,,,24.2,,991.3,
2017-12-15 00:00:00,4.1,0.9,5.6,0,,,15.4,,998.7,
2017-12-16 00:00:00,2.9,0.2,6,1.5,,,10.6,,1017.8,
2017-12-17 00:00:00,3.9,-1.3,9.3,0.3,,,12,,1022.8,
2017-12-18 00:00:00,4.6,1.5,8.9,3.3,,,5.8,,1029,
2017-12-19 00:00:00,3.5,-2.3,7.7,0,,,7.3,,1035.1,
2017-12-20 00:00:00,9.3,6.5,10.8,0.3,,,10.4,,1035.2,
2017-12-21 00:00:00,10.9,9.5,11.8,0.3,,,14.1,,1035.5,
2017-12-22 00:00:00,10.6,8.9,11.8,0,,,8.3,,1035.8,
2017-12-23 00:00:00,9.4,8.4,10,0.3,,,18.4,,1033.7,
2017-12-24 00:00:00,9.3,8,10.6,0,,,21.4,,1024.7,
2017-12-25 00:00:00,10,6.1,11,0.3,,,26.8,,1007.6,
2017-12-26 00:00:00,5.9,3.6,7.9,5.3,,,20.8,,993.6,
