Date,case,wastewater,temp
2020-09-14,3,0.03234712,16.7
2020-09-15,9,0.03234712,17.1
2020-09-16,12,0.03234712,14.5
2020-09-17,19,0.03234712,20.5
2020-09-18,9,0.03234712,16.6
2020-09-19,14,0.03234712,13.7
2020-09-20,3,0.03234712,17.7
2020-09-21,0,0.18021966,18.1
2020-09-22,22,0.18021966,20.0
2020-09-23,14,0.18021966,21.7
2020-09-24,23,0.18021966,18.4
2020-09-25,19,0.18021966,16.9
2020-09-26,10,0.18021966,14.4
2020-09-27,17,0.18021966,14.1
2020-09-28,6,0.86413015,13.8
2020-09-29,34,0.86413015,16.6
2020-09-30,23,0.86413015,14.6
2020-10-01,36,0.86413015,18.3
2020-10-02,62,0.86413015,14.5
2020-10-03,54,0.86413015,14.4
2020-10-04,11,0.86413015,17.9
2020-10-05,39,0.79019388,14.4
2020-10-06,104,0.79019388,16.3
2020-10-07,67,0.79019388,14.6
2020-10-08,51,0.79019388,13.1
2020-10-09,8,0.79019388,12.1
2020-10-10,8,0.79019388,12.3
2020-10-11,8,0.79019388,9.5
2020-10-12,173,1.86689079,10.8
2020-10-13,61,1.86689079,10.2
2020-10-14,30,1.86689079,10.8
2020-10-15,64,1.86689079,9.6
2020-10-16,91,1.86689079,10.8
2020-10-17,30,1.86689079,8.4
2020-10-18,56,1.86689079,6.0
2020-10-19,48,3.75226565,5.6
2020-10-20,65,3.75226565,10.1
2020-10-21,50,3.75226565,11.0
2020-10-22,42,3.75226565,11.7
2020-10-23,66,3.75226565,3.7
2020-10-24,45,3.75226565,12.5
2020-10-25,33,3.75226565,12.2
2020-10-26,82,2.20884604,10.7
2020-10-27,63,2.20884604,11.1
2020-10-28,113,2.20884604,10.2
2020-10-29,126,2.20884604,6.7
2020-10-30,242,2.20884604,8.6
2020-10-31,230,2.20884604,10.0
2020-11-01,27,2.20884604,15.7
2020-11-02,70,6.0720161,15.2
2020-11-03,108,6.0720161,8.8
2020-11-04,202,6.0720161,11.8
2020-11-05,284,6.0720161,14.2
2020-11-06,166,6.0720161,10.9
2020-11-07,51,6.0720161,9.9
2020-11-08,134,6.0720161,7.3
2020-11-09,165,11.3122491,5.9
2020-11-10,168,11.3122491,7.4
2020-11-11,232,11.3122491,6.5
2020-11-12,268,11.3122491,7.6
2020-11-13,239,11.3122491,9.2
2020-11-14,198,11.3122491,10.4
2020-11-15,87,11.3122491,10.9
2020-11-16,78,5.6330195,10.0
2020-11-17,263,5.6330195,13.6
2020-11-18,143,5.6330195,12.0
2020-11-19,401,5.6330195,3.5
2020-11-20,264,5.6330195,6.3
2020-11-21,198,5.6330195,7.3
2020-11-22,83,5.6330195,6.0
2020-11-23,146,2.54618027,6.6
2020-11-24,220,2.54618027,9.7
2020-11-25,258,2.54618027,9.0
2020-11-26,275,2.54618027,1.4
2020-11-27,238,2.54618027,1.3
2020-11-28,209,2.54618027,0.6
2020-11-29,52,2.54618027,1.7
